Fecha;Hora;Tipo;Valor
19/11/24;20:13:21;LINEA H;-757,00
19/11/24;08:45:02;LINEA H;-757,00
18/11/24;20:27:28;Carga;5000,00
9/11/24;11:42:22;LINEA D;-757,00
9/11/24;08:43:52;LINEA H;-757,00
8/11/24;21:13:55;LINEA D;-757,00
1/11/24;20:40:55;LINEA D;-757,00
1/11/24;17:14:06;LINEA H;-757,00
26/10/24;12:40:13;LINEA D;-757,00
26/10/24;08:49:44;LINEA H;-757,00
26/10/24;08:49:27;Carga;5000,00
25/10/24;20:35:29;LINEA D;-757,00
25/10/24;17:13:05;LINEA H;-757,00
21/10/24;18:12:34;LINEA H;-757,00
21/10/24;08:40:29;LINEA H;-757,00
19/10/24;12:31:22;LINEA D;-757,00
19/10/24;08:42:55;LINEA H;-757,00
18/10/24;20:47:59;LINEA D;-757,00
4/10/24;21:26:10;LINEA D;-757,00
4/10/24;17:04:39;LINEA H;-757,00
28/9/24;13:00:01;LINEA D;-650,00
28/9/24;08:43:31;LINEA H;-650,00
27/9/24;21:32:35;LINEA D;-650,00
27/9/24;17:17:17;LINEA H;-650,00
26/9/24;08:37:32;LINEA H;-650,00
25/9/24;23:57:10;Carga;5000,00
23/9/24;21:37:20;LINEA D;-650,00
23/9/24;17:15:44;LINEA H;-650,00
